url,rental,bedroom,bathroom,carpool,address,property_type,is_air_conditioning,is_floorboard,is_furnished,is_outdoor,is_secure,is_sports,is_recorded
/property-house-wa-victoria+park-4966751,$330 - 1 WEEK FREE TO SUCCESSFUL APPLICANT,3,1,2,"41A Sunbury Road, Victoria Park, WA 6100",House,0,0,0,0,1,0,1
/property-townhouse-wa-burswood-404452863,$700 per week,3,3,2,"24 Bow River Crescent, Burswood, WA 6100",Townhouse,1,0,1,1,1,1,1
/property-unit-wa-south+perth-401057350,$300 per week,2,1,1,"8/5 Brookside Avenue, South Perth, WA 6151",Unit,1,0,0,1,1,1,1
/property-house-wa-south+perth-401801562,$360 per week,2,1,1,"19 Westbury Avenue, South Perth, WA 6151",House,1,1,0,0,1,0,1
/property-unit-wa-south+perth-403180098,$265 - 1 WEEK FREE RENT TO SUCCESSFUL APPLICANT,2,1,1,"5/19 Delamere Avenue, South Perth, WA 6151",Unit,1,0,0,1,1,1,1
/property-villa-wa-bentley-416841870,$295 per week,3,1,1,"5/2a Isobel Street, Bentley, WA 6102",Villa,1,0,0,0,1,0,1
/property-house-wa-alkimos-420056010,$260 per week,3,2,2,"21 Holystone Lane, Alkimos, WA 6038",House,1,0,0,1,1,0,1
/property-unit-wa-rockingham-420533170,$300 wk,3,2,3,"5/7 Fisher Street, Rockingham, WA 6168",Unit,1,0,0,1,1,0,1
/property-apartment-wa-east+perth-420587754,$425 per week,2,2,1,"7/7-9 Bennett Street, East Perth, WA 6004",Apartment,1,0,1,1,1,1,1
/property-house-wa-alkimos-420702258,$270.00 per week,3,2,2,"405 Shorehaven Boulevard, Alkimos, WA 6038",House,1,0,0,0,1,0,1
/property-house-wa-applecross-411901231,"$1,000 per week",6,3,4,"5 Tuart Street, Applecross, WA 6153",House,1,0,0,0,1,1,1
/property-house-wa-tuart+hill-419852150,$510 per week,4,2,2,"252D Cape Street, Tuart Hill, WA 6060",House,1,0,0,1,1,0,1
/property-house-wa-aveley-420448338,$300 wk,3,2,2,"2/41 Bellazario Promenade, Aveley, WA 6069",House,1,0,0,1,1,0,1
